Coin;Date & Time (of the trade, not the day you tested);Direction DON'T WRITE HERE;Entry;Stop Loss;Exit;Returns DON'T WRITE HERE;Win / Loss DON'T WIRTE HERE;Total R;Avg. R;;;;;;;;;;;;;;;;;
SOL;02.12.22 19:00;Short; $13,64 ; $13,71 ; $13,61 ;0,428571429;Win;14,22136874;0,142213687;;;;;;;;;;;;;;;;;
SOL;02.12.22 22:45;Long; $13,64 ; $13,61 ; $13,67 ;1;Win;;;;;;;;;;;;;;;;;;;
SOL;03.12.22 10:00;Long; $13,59 ; $13,55 ; $13,55 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;03.12.22 19:00;Long; $13,41 ; $13,30 ; $13,44 ;0,272727273;Win;;;;;;;;;;;;;;;;;;;
SOL;05.12.22 12:15;Long; $13,97 ; $13,81 ; $13,81 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;10.12.22 12:45;Short; $13,62 ; $13,68 ; $13,59 ;0,5;Win;;;;;;;;;;;;;;;;;;;
SOL;10.12.22 16:30;Short; $13,63 ; $13,66 ; $13,61 ;0,666666667;Win;;;;;;;;;;;;;;;;;;;
SOL;11.12.22 15:15;Short; $13,66 ; $13,71 ; $12,98 ;13,6;Win;;;;;;;;;;;;;;;;;;;
SOL;14.12.22 14:45;Short; $14,31 ; $14,39 ; $14,14 ;2,125;Win;;;;;;;;;;;;;;;;;;;
SOL;20.12.22 11:15;Short; $12,22 ; $12,27 ; $12,27 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;20.12.22 19:45;Short; $12,20 ; $12,26 ; $12,26 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;21.12.22 17:15;Long; $12,10 ; $12,06 ; $12,06 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;22.12.22 15:15;Long; $11,98 ; $11,88 ; $11,88 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;24.12.22 17:45;Short; $11,37 ; $11,42 ; $11,42 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;25.12.22 22:30;Short; $11,38 ; $11,40 ; $11,36 ;1;Win;;;;;;;;;;;;;;;;;;;
SOL;26.12.22 18:30;Long; $11,30 ; $11,26 ; $11,26 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;27.12.22 18:00;Long; $11,07 ; $11,03 ; $11,03 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;28.12.22 10:00;Long; $10,21 ; $10,16 ; $10,16 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;29.12.22 17:56;Long; $9,17 ; $9,01 ; $9,51 ;2,125;Win;;;;;;;;;;;;;;;;;;;
SOL;31.12.22 18:00;Short; $9,93 ; $9,95 ; $9,95 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;05.1.23 19:00;Short; $13,31 ; $13,43 ; $13,43 ;-1;Loss;;Terms;;;;;;;;;;;;;;;;;
SOL;05.1.23 10:30; ; $13,17 ; $13,05 ; $13,29 ;1;Win;;;;;;;;;;;;;;;;;;;
SOL;11.1.23 14:15;Long; $15,97 ; $15,71 ; $16,41 ;1,692307692;Win;"VWAP = does price closing through VWAP support 
the proposed trendshift";;;;;;;;;;;;;;;;;;
SOL;12.01.23 19:00;Short; $16,50 ; $16,59 ; $16,59 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;13.01.23 10:45;Long; $16,82 ; $16,79 ; $16,79 ;-1;Loss;"Trend Shift = A confirmed MSB on the chart after
previous trend";;;;;;;;;;;;;;;;;;
SOL;15.01.23 13:30;Short; $23,16 ; $23,22 ; $23,22 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;17.01.23 15:45;Short; $23,40 ; $23,46 ; $23,31 ;1,5;Win;SOL Intraday = 15 minute chart, from 10 am to 12 pm;;;;;;;;;;;;;;;;;;
SOL;18.01.23 10:45;Short; $21,80 ; $22,91 ; $21,16 ;0,576576577;Win;;;;;;;;;;;;;;;;;;;
SOL;19.01.23 11:00;Long; $21,24 ; $21,06 ; $21,06 ;-1;Loss;;Execution Rules;;;;;;;;;;;;;;;;;
SOL;19.01.23 19:00;Short; $21,19 ; $21,39 ; $21,39 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;19.01.23 23:30;Short; $21,17 ; $21,40 ; $21,13 ;0,173913043;Win;Entry = First candle close through VWAP after MSB;;;;;;;;;;;;;;;;;;
SOL;20.01.23 19:00;Short; $24,92 ; $25,14 ; $25,14 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;22.01.23 19:15;Long; $24,45 ; $24,15 ; $24,67 ;0,733333333;Win;Stop Loss = Above/Below the closing candle open;;;;;;;;;;;;;;;;;;
SOL;23.01.23 12:45;Long; $24,66 ; $24,26 ; $24,26 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;03.02.23 13:15;Short; $24,55 ; $24,59 ; $24,59 ;-1;Loss;Take Profit = Opposite MSB or end of the trading period;;;;;;;;;;;;;;;;;;
SOL;05.02.23 19:15;Long; $23,72 ; $23,60 ; $23,60 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;09.02.23 11:15;Short; $22,59 ; $22,69 ; $20,68 ;19,1;Win;;;;;;;;;;;;;;;;;;;
SOL;11.02.23 13:30;Short; $20,33 ; $20,35 ; $20,35 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;12.02.23 26:45;Short; $21,38 ; $21,55 ; $21,55 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;14.02.23 19:00;Short; $21,73 ; $21,84 ; $21,65 ;0,727272727;Win;;;;;;;;;;;;;;;;;;;
SOL;17.02.23 17:00;Short; $22,82 ; $23,10 ; $23,10 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;18.02.23 15:00;Short; $23,41 ; $23,49 ; $23,49 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;18.02.23 18:30;Short; $23,44 ; $23,53 ; $23,53 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;19.02.23 12:00;Short; $24,30 ; $24,34 ; $24,34 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;20.02.23 11:15;Short; $25,90 ; $26,13 ; $26,13 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;20.02.23 18:30;Short; $25,97 ; $26,14 ; $26,14 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;22.02.23 13:15;Long; $23,90 ; $23,83 ; $23,83 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;23.02.23 15:00;Long; $24,17 ; $24,04 ; $24,04 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;24.02.23 19:00;Long; $23,13 ; $23,07 ; $23,07 ;-1;Loss;;;;;;;;;;;;;;;;;;;
SOL;25.02.23 18:15;Long; $22,51 ; $22,26 ; $22,26 ;-1;Loss;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
